"atm_del_14C_20,000BP_to_2100_AD_RCP85_RCP45",,
Cal_BP,D14C_RCP85_per_mil,D14C_RCP45_per_mil
8100,76.4,76.4
8095,75.4,75.4
8090,73.7,73.7
8085,71.6,71.6
8080,70.4,70.4
8075,69.8,69.8
8070,69.4,69.4
8065,69.1,69.1
8060,69.2,69.2
8055,69.3,69.3
8050,69.5,69.5
8045,69.8,69.8
8040,70.2,70.2
8035,70.3,70.3
8030,70.3,70.3
8025,71.2,71.2
8020,72.1,72.1
8015,73.2,73.2
8010,74.4,74.4
8005,75.4,75.4
8000,75.8,75.8
7995,76.4,76.4
7990,75.7,75.7
7985,74.4,74.4
7980,74.5,74.5
7975,75,75
7970,75.5,75.5
7965,76.6,76.6
